TP,FP,TN,FN,PPV,NPV,sensitivity,specificity
0.055841293166789124,0,0.9441587068332109,0,1,1,1,1
0.0653930933137399,0,0.9346069066862601,0,1,1,1,1
0.018368846436443792,0,0.9816311535635562,0,1,1,1,1
0.06906686260102865,0,0.9309331373989713,0,1,1,1,1
0.002204261572373255,0,0.9977957384276267,0,1,1,1,1
0.009551800146950772,0,0.9904481998530492,0,1,1,1,1
0.03600293901542983,0,0.9639970609845702,0,1,1,1,1
0.00881704628949302,0,0.991182953710507,0,1,1,1,1
0.03232916972814107,0,0.967670830271859,0,1,1,1,1
0.038941954445260836,0,0.9610580455547392,0,1,1,1,1
0.1880969875091844,0,0.8119030124908155,0,1,1,1,1
0.0014695077149155032,0,0.9985304922850845,0,1,1,1,1
0.03600293901542983,0,0.9639970609845702,0,1,1,1,1
0.08302718589272594,0,0.916972814107274,0,1,1,1,1
0.02351212343864805,0,0.9764878765613519,0,1,1,1,1
0.14695077149155034,0,0.8530492285084497,0,1,1,1,1
0.01322556943423953,0,0.9867744305657604,0,1,1,1,1
0.005878030859662013,0,0.994121969140338,0,1,1,1,1
0.014695077149155033,0,0.9853049228508449,0,1,1,1,1
0.0014695077149155032,0,0.9985304922850845,0,1,1,1,1
0.14915503306392358,0,0.8508449669360764,0,1,1,1,1
0.047619047619047616,0,0.9523809523809523,0,1,1,1,1
